node,lng,lat
10729924630,116.3085539,39.9854197
10729924631,116.3063338,39.985578
10729924632,116.3063364,39.9855158
10729924633,116.3019696,39.9882682
10729924635,116.3053601,39.9866329
10729924636,116.3048539,39.9866116
10729924637,116.3048459,39.986824
10729924638,116.3048699,39.9863792
10729924639,116.3047368,39.9866065
10733287934,116.3069936,39.9927413
10733287936,116.3070098,39.9917501
10733287938,116.3063419,39.9917316
10733287939,116.3071436,39.9928338
10733287944,116.30878,39.9925392
10765492923,116.3066724,39.9869193
10765492927,116.3065752,39.9869152
10765492934,116.307712,39.9856288
10765492936,116.3060381,39.9864178
10765492937,116.3061626,39.9864205
10765492945,116.3090181,39.9877733
10765492950,116.3070425,39.9881629
10765492957,116.2995292,39.9863923
10768889232,116.3051395,39.9880888
10768889233,116.3049655,39.9882484
10768889235,116.3048231,39.9884235
10768889238,116.3047159,39.9883234
10768889247,116.3039436,39.9883759
10768889248,116.3040535,39.9883787
10768889250,116.3046379,39.9885543
10768889251,116.3021116,39.9865918
10768889252,116.3021088,39.9866624
10768889253,116.3017143,39.9865779
10768889254,116.3017117,39.986653
10768889255,116.3023481,39.9872019
10768889256,116.302166,39.9871949
10768889257,116.3023564,39.9869929
10768889258,116.3021744,39.9869881
10772801840,116.3047631,39.9917798
10772801842,116.303486,39.9857768
10772801845,116.3035014,39.9855552
10779602534,116.3073956,39.9877268
10779602536,116.3067691,39.9881524
10779602537,116.306734,39.9886826
10779602557,116.3082842,39.9875005
10779602563,116.3086481,39.987379
10780957459,116.3063755,39.9903323
10780957460,116.306726,39.9903471
10780957462,116.3075238,39.990735
10780957464,116.3074808,39.9903787
10780957465,116.3057518,39.9902368
10780957466,116.3057428,39.9903547
10780957467,116.3057381,39.9905174
10780957468,116.3057295,39.9906626
10780957470,116.3066532,39.9911048
10780957471,116.3065866,39.9911035
10780957474,116.3056955,39.9910331
10780957475,116.305685,39.9912512
10780957482,116.3034684,39.9900675
10780957484,116.3030212,39.9900373
10780957485,116.3022024,39.9871964
10780957486,116.302198,39.9872687
10780957487,116.3022638,39.9873422
10780957488,116.3023424,39.9873458
10780957489,116.3022681,39.9871988
10780957490,116.3022734,39.9869907
10780957495,116.3022085,39.9869889
10780957500,116.3023643,39.9867924
10780957502,116.3017061,39.9861464
10780997405,116.3014655,39.9861389
10780997407,116.3011294,39.9870623
10780997408,116.3009914,39.9870623
10780997409,116.3021914,39.9874246
10780997410,116.3021894,39.9874808
10780997413,116.3021107,39.9866156
10780997414,116.3022792,39.9861637
10780997415,116.3022713,39.986273
10780997416,116.3022575,39.9864983
10783874665,116.3075192,39.9875402
10783874666,116.30751,39.9876436
10783874667,116.3075106,39.9876378
10783874669,116.3075376,39.9876085
10783874671,116.3080817,39.987563
10783874672,116.3080713,39.9876699
10796554756,116.304667,39.9885338
10796554762,116.3040396,39.9883783
10796554767,116.3078257,39.9887287
10796554769,116.307836,39.9886129
10796554770,116.307834,39.988634
10796554776,116.307778,39.9886697
10796554777,116.3072664,39.9887051
10796554779,116.3072732,39.9885922
10796554782,116.3070454,39.9881188
10796554784,116.3081196,39.9877322
10796554788,116.3087788,39.988769
10796554789,116.3087505,39.9891506
10796554790,116.3057003,39.9909818
10796554791,116.3057181,39.9908054
10796554792,116.3043588,39.9898821
10796554793,116.3044842,39.9897305
10796554794,116.3040337,39.9898714
10796554795,116.3040536,39.9893852
10796554796,116.3023044,39.9865985
10796554798,116.3022889,39.9860538
10796554799,116.3054212,39.98571
10796554800,116.3047804,39.9856913
10796554801,116.3050282,39.9856985
10796554802,116.3050186,39.9858709
10796554803,116.3050499,39.9854641
10796554804,116.3050487,39.9854768
10796582207,116.2989982,39.9897174
10796582212,116.3091229,39.9887836
10796582214,116.3067675,39.9881761
10796582215,116.308265,39.98771
10799129719,116.3022577,39.98745
